Impressions,Conversion_Rate,Spent,Clicks,Cpa,Age
5117,0.0,0.0,0,0.0,32
478480,0.04,135.7500012,75,45.250000400000005,47
76355,0.2222222222222222,14.62999988,9,7.31499994,37
475184,0.0454545454545454,127.3200028,88,31.8300007,37
208572,0.0555555555555555,60.76000023,36,30.380000115,42
98066,0.1111111111111111,16.1500001,9,16.1500001,37
131091,0.1666666666666666,34.23000026,18,11.410000086666663,37
548250,0.0364963503649635,201.6000042,137,40.32000084,47
258531,0.0434782608695652,80.33999979,46,40.169999895,47
512,0.0,0.0,0,0.0,37
4012,1.0,1.570000052,1,1.570000052,32
975884,0.0838323353293413,237.3199975,167,16.951428392857142,37
9750,0.5,1.5,2,1.5,37
741143,0.0333333333333333,179.620001,120,44.90500025,42
92080,0.25,16.94000018,12,5.646666726666666,37
33445,0.5,3.199999928,2,3.199999928,32
381577,0.0246913580246913,127.5699993,81,63.78499965,47
155426,0.1764705882352941,25.01000023,17,8.336666743333334,37
304680,0.0508474576271186,98.55000019,59,32.85000006333333,42
428812,0.0606060606060606,116.8800001,66,29.220000025,47
126480,0.04,37.25999999,25,37.25999999,47
40801,0.0,15.91999972,12,0.0,42
132803,0.08,37.32000124,25,18.66000062,37
105399,0.0909090909090909,33.19999933,22,16.599999665,37
101856,0.25,25.22000039,16,6.3050000975,32
1781,0.0,0.0,0,0.0,42
45491,0.125,11.00999999,8,11.00999999,47
19353,0.1666666666666666,9.4799999,6,9.4799999,47
138525,0.3333333333333333,13.65000045,9,4.55000015,47
693,0.0,0.0,0,0.0,32
15615,0.3333333333333333,4.769999981,3,4.769999981,32
1247717,0.0495495495495495,343.4199994,222,31.219999945454543,37
984521,0.2736842105263158,163.8999972,95,6.303846046153846,32
455248,0.0925925925925925,105.7099996,54,21.14199992,42
3659,1.0,0.49000001,1,0.49000001,47
4726,1.0,1.830000043,1,1.830000043,37
3052003,0.1764705882352941,639.9499981,340,10.665833301666668,32
699,0.0,0.0,0,0.0,37
259984,0.1351351351351351,54.7900002,37,10.95800004,32
6699,0.5,3.090000033,2,3.090000033,42
152454,0.0454545454545454,37.84999979,22,37.84999979,37
1030,0.0,0.0,0,0.0,37
77794,0.0714285714285714,19.11000001,14,19.11000001,42
1120,0.0,0.0,0,0.0,32
611601,0.0579710144927536,191.419996,138,23.9274995,42
29035,0.2857142857142857,8.910000086,7,4.455000043,37
1609,0.0,0.0,0,0.0,47
559,0.0,0.0,0,0.0,37
13911,1.0,1.730000019,1,1.730000019,32
5864,0.5,2.799999952,2,2.799999952,37
69708,0.05,31.28999949,20,31.28999949,47
13329,0.25,5.629999995,4,5.629999995,32
718359,0.0272108843537414,264.5899997,147,66.147499925,47
1168,0.0,0.0,0,0.0,47
11199,0.5,2.680000067,2,2.680000067,37
1428421,0.0272479564032697,541.7000023,367,54.17000023000001,47
492784,0.125,95.5100013,56,13.6442859,37
913929,0.0285714285714285,340.4099993,245,48.6299999,42
834,0.0,0.0,0,0.0,42
550954,0.0357142857142857,150.1400012,84,50.04666706666666,37
198658,0.2666666666666666,48.60999978,30,6.0762499725,32
223120,0.025,67.66999984,40,67.66999984,37
1720,0.0,0.0,0,0.0,32
50947,0.1,15.99000025,10,15.99000025,47
56265,0.1111111111111111,15.53999972,9,15.53999972,42
906151,0.0049504950495049,295.5499957,202,295.5499957,47
164118,0.024390243902439,59.06999993,41,59.06999993,42
49916,0.1,16.38,10,16.38,47
25002,1.0,1.710000038,1,1.710000038,32
172827,0.08,38.42000043,25,19.210000215,42
274222,0.0465116279069767,66.7700001,43,33.38500005,37
325653,0.0317460317460317,89.35000026,63,44.67500013,37
1006,0.0,0.0,0,0.0,47
103709,0.2,24.56999969,15,8.189999896666667,32
5374,4.0,1.039999962,1,0.2599999905,32
2563,1.0,1.480000019,1,1.480000019,37
20277,0.1666666666666666,8.050000072,6,8.050000072,37
1177535,0.0678733031674208,365.6600009,221,24.37733339333333,47
74542,0.0526315789473684,34.1500001,19,34.1500001,42
333345,0.0961538461538461,77.59000027,52,15.518000054000002,32
3490,1.0,1.340000033,1,1.340000033,47
112460,0.04,41.29000068,25,41.29000068,37
1020561,0.0406976744186046,263.8100007,172,37.68714295714285,37
471,0.0,0.0,0,0.0,37
1491,0.0,0.0,0,0.0,32
57781,0.4,7.800000072,5,3.900000036,32
85970,0.0714285714285714,24.78000021,14,24.78000021,37
12215,0.25,6.26000011,4,6.26000011,47
227473,0.0192307692307692,71.58000052,52,71.58000052,37
34453,0.2,7.710000038,5,7.710000038,42
570699,0.1125,138.7699997,80,15.418888855555556,32
29945,2.0,1.590000033,1,0.7950000165,32
33534,0.5,2.960000038,2,2.960000038,37
3142,0.0,0.0,0,0.0,32
107021,0.05,34.44000012,20,34.44000012,47
565565,0.0619469026548672,169.6699982,113,24.23857117142857,32
66277,0.0833333333333333,17.30000019,12,17.30000019,37
287976,0.0967741935483871,59.43999982,31,19.81333327333333,32
120335,0.0769230769230769,36.2299993,26,18.11499965,37
27081,0.1111111111111111,10.77000046,9,10.77000046,42
131060,0.125,28.04999959,16,14.024999795,37
78468,0.0666666666666666,23.64999962,15,23.64999962,37
233043,0.0408163265306122,65.03000033,49,32.515000165,42
5859,1.0,1.539999962,1,1.539999962,42
253758,0.0930232558139534,62.14000034,43,15.535000085,32
392541,0.0566037735849056,98.70000017,53,32.90000005666666,37
2861,0.0,0.0,0,0.0,42
2554,0.0,0.0,0,0.0,32
4016,0.5,1.480000049,2,1.480000049,42
8022,0.0,0.0,0,0.0,42
8152,1.0,0.99000001,1,0.99000001,42
2459,0.0,0.0,0,0.0,37
4827,0.0,0.0,0,0.0,32
319131,0.1176470588235294,76.68000025,51,12.780000041666668,32
2749,1.0,1.389999986,1,1.389999986,32
7337,0.3333333333333333,4.079999924,3,4.079999924,42
109723,0.037037037037037,40.9600004,27,40.9600004,37
66794,0.1111111111111111,17.3299998,9,17.3299998,47
185823,0.16,38.54999936,25,9.63749984,32
1909,1.0,0.980000019,1,0.980000019,47
42563,0.2,9.659999847,5,9.659999847,42
93891,0.4545454545454545,17.6400001,11,3.5280000200000003,32
2938,1.0,1.350000024,1,1.350000024,37
37873,0.2,6.169999957,5,6.169999957,32
221695,0.1612903225806451,52.26000011,31,10.452000022,32
526923,0.0144927536231884,198.0899972,138,99.0449986,47
11537,0.3333333333333333,4.300000191,3,4.300000191,42
2479,1.0,1.25999999,1,1.25999999,42
119772,0.25,33.46999907,20,6.693999814,32
1273,0.0,0.0,0,0.0,32
233404,0.0465116279069767,70.4100008,43,35.2050004,37
43756,0.0,5.439999938,5,0.0,32
506,0.0,0.0,0,0.0,32
32574,0.2,7.480000019,5,7.480000019,42
113501,0.1923076923076923,38.44000077,26,7.688000153999999,37
17954,0.3333333333333333,7.5400002,6,3.7700001,32
740631,0.0891089108910891,153.1199975,101,17.013333055555556,32
318042,0.1739130434782608,64.40999997,46,8.05124999625,32
121769,0.1538461538461538,18.41999996,13,9.20999998,47
7966,1.0,1.179999948,1,1.179999948,32
93176,0.0344827586206896,40.37000024,29,40.37000024,42
357856,0.2333333333333333,52.97000015,30,7.567142878571427,32
7709,1.0,1.320000052,2,0.660000026,42
498,0.0,0.0,0,0.0,37
1514,0.0,0.0,0,0.0,32
2283,1.0,1.470000029,1,1.470000029,47
39339,0.25,5.929999948,4,5.929999948,32
73222,0.0625,22.86000025,16,22.86000025,47
7410,1.0,1.210000038,1,1.210000038,47
3569,0.0,0.0,0,0.0,47
10991,0.0,0.0,0,0.0,32
151531,0.0714285714285714,40.28999949,28,20.144999745,47
784,0.0,0.0,0,0.0,37
3745,0.0,0.0,0,0.0,32
5576,1.0,1.529999971,1,1.529999971,32
5453,1.0,1.389999986,1,1.389999986,32
153586,0.0714285714285714,43.01000035,28,21.505000175,42
13479,0.3333333333333333,4.25,3,4.25,32
50406,0.2,7.26000011,5,7.26000011,47
49699,1.0,2.690000057,2,1.3450000285,32
439986,0.05,134.8799999,80,33.719999975,42
188758,0.08,36.60000038,25,18.30000019,47
1111156,0.0177304964539007,402.3000026,282,80.46000052000001,47
246,0.0,0.0,0,0.0,32
41636,0.3333333333333333,4.210000038,3,4.210000038,32
25817,0.25,6.019999981,4,6.019999981,37
12183,0.3333333333333333,2.869999945,3,2.869999945,42
1915,0.0,0.0,0,0.0,32
11911,0.25,3.959999919,4,3.959999919,42
318157,0.0535714285714285,85.70000196,56,28.56666732,37
297452,0.1333333333333333,52.01999986,30,13.004999965,32
9965,0.3333333333333333,4.050000072,3,4.050000072,42
1393,0.0,0.0,0,0.0,37
535,0.0,0.0,0,0.0,32
148010,0.0416666666666666,41.96999943,24,41.96999943,47
2214,0.0,0.0,0,0.0,32
399199,0.0517241379310344,103.1500002,58,34.3833334,32
188440,0.05,60.72999966,40,30.36499983,42
962,0.0,0.0,0,0.0,32
2479,0.0,0.0,0,0.0,47
54237,0.2857142857142857,10.77999985,7,5.389999925,47
